Date,Time,Person,Density
2024-02-11,12:28:46,5,rare
2024-02-11,12:28:47,6,rare
2024-02-11,12:28:47,6,rare
2024-02-11,12:28:48,6,rare
2024-02-11,12:28:49,6,rare
2024-02-11,12:28:50,6,rare
2024-02-11,12:28:53,6,rare
2024-02-11,12:28:54,6,rare
2024-02-11,12:28:55,6,rare
2024-02-11,12:28:56,5,rare
2024-02-11,12:28:56,6,rare
2024-02-11,12:28:57,6,rare
2024-02-11,12:28:58,6,rare
2024-02-11,12:28:59,6,rare
2024-02-11,12:29:00,6,rare
2024-02-11,12:29:01,6,rare
2024-02-11,12:29:02,6,rare
2024-02-11,12:29:03,6,rare
2024-02-11,12:29:04,6,rare
2024-02-11,12:29:05,6,rare
2024-02-11,12:29:06,6,rare
2024-02-11,12:29:07,6,rare
2024-02-11,12:29:08,7,rare
2024-02-11,12:29:09,6,rare
2024-02-11,12:29:10,6,rare
2024-02-11,12:29:12,6,rare
2024-02-11,12:29:13,5,rare
2024-02-11,12:29:14,5,rare
2024-02-11,12:29:15,5,rare
2024-02-11,12:29:16,6,rare
2024-02-11,12:29:16,6,rare
2024-02-11,12:29:18,7,rare
2024-02-11,12:29:19,6,rare
2024-02-11,12:29:20,6,rare
2024-02-11,12:29:21,5,rare
2024-02-11,12:29:22,5,rare
2024-02-11,12:29:23,5,rare
2024-02-11,12:29:24,5,rare
2024-02-11,12:29:25,5,rare
2024-02-11,12:29:26,5,rare
2024-02-11,12:29:27,6,rare
2024-02-11,12:29:27,5,rare
2024-02-11,12:29:28,6,rare
2024-02-11,12:29:29,6,rare
2024-02-11,12:29:30,5,rare
2024-02-11,12:29:31,5,rare
2024-02-11,12:29:32,5,rare
2024-02-11,12:29:33,5,rare
2024-02-11,12:29:33,5,rare
2024-02-11,12:29:34,5,rare
2024-02-11,12:29:35,5,rare
2024-02-11,12:29:36,5,rare
2024-02-11,12:29:37,5,rare
2024-02-11,12:29:38,5,rare
2024-02-11,12:29:39,5,rare
2024-02-11,12:30:29,6,rare
2024-02-11,12:30:30,7,rare
2024-02-11,12:30:31,8,rare
2024-02-11,12:30:32,8,rare
2024-02-11,12:30:33,7,rare
2024-02-11,12:30:33,6,rare
2024-02-11,12:30:34,7,rare
2024-02-11,12:30:35,7,rare
2024-02-11,12:30:36,7,rare
2024-02-11,12:30:37,6,rare
2024-02-11,12:30:38,6,rare
2024-02-11,12:30:39,6,rare
2024-02-11,12:30:40,6,rare
2024-02-11,12:30:41,6,rare
2024-02-11,12:30:42,5,rare
2024-02-11,12:30:43,6,rare
2024-02-11,12:30:44,5,rare
2024-02-11,12:30:44,5,rare
2024-02-11,12:30:45,6,rare
2024-02-11,12:30:46,6,rare
2024-02-11,12:30:47,6,rare
2024-02-11,12:30:48,6,rare
2024-02-11,12:30:49,6,rare
2024-02-11,12:30:50,6,rare
2024-02-11,12:30:51,6,rare
2024-02-11,12:30:52,6,rare
2024-02-11,12:30:53,5,rare
2024-02-11,12:30:54,6,rare
2024-02-11,12:30:55,6,rare
2024-02-11,12:30:56,6,rare
2024-02-11,12:30:57,6,rare
2024-02-11,12:30:58,6,rare
2024-02-11,12:30:59,6,rare
2024-02-11,12:31:00,6,rare
2024-02-11,12:31:01,6,rare
2024-02-11,12:31:01,6,rare
2024-02-11,12:31:02,6,rare
2024-02-11,12:31:03,6,rare
2024-02-11,12:31:04,6,rare
2024-02-11,12:31:05,7,rare
2024-02-11,12:31:06,6,rare
2024-02-11,12:31:07,6,rare
2024-02-11,12:31:08,6,rare
2024-02-11,12:31:09,5,rare
2024-02-11,12:31:10,5,rare
2024-02-11,12:31:11,5,rare
2024-02-11,12:31:12,6,rare
2024-02-11,12:31:13,6,rare
2024-02-11,12:31:14,7,rare
2024-02-11,12:31:14,6,rare
2024-02-11,12:31:15,6,rare
